<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;D;230718;000000;2889.09;2917.72;2880.11;2917.61;53257288785
IMOEX;D;230719;000000;2923.69;2955.81;2922.74;2954.52;77156128343
IMOEX;D;230720;000000;2959.41;2966.72;2938.66;2943.43;58694687222
IMOEX;D;230721;000000;2947.08;2947.29;2905.02;2917.48;61333694672
IMOEX;D;230722;000000;2890.45;2925.54;2889.78;2923.54;45077238805
IMOEX;D;230725;000000;2929.23;2947.17;2925.1;2937.47;44527494706
IMOEX;D;230726;000000;2948.87;2975.36;2943.74;2975.36;53238260846
IMOEX;D;230727;000000;2974.21;2982.47;2954.9;2970.42;56825939145
IMOEX;D;230728;000000;2975.52;2992.47;2975.52;2987.85;61871662319
IMOEX;D;230729;000000;2986.35;3008.61;2978.12;3008.61;51925664852
IMOEX;D;230801;000000;3026.93;3073.5;3026.93;3073.5;97179543240
IMOEX;D;230802;000000;3085.97;3114.56;3055.25;3093.64;103501354441
IMOEX;D;230803;000000;3096.72;3123.45;3080.63;3106.46;67992425373
IMOEX;D;230804;000000;3111.7;3150.28;3094.27;3147.8;90777814431
IMOEX;D;230805;000000;3158.53;3194.83;3073.69;3092.44;150935161509
IMOEX;D;230808;000000;3120.54;3153.6;3084.08;3084.08;71380603188
IMOEX;D;230809;000000;3077.63;3092.54;3026.72;3085.31;75856292667
IMOEX;D;230810;000000;3106.03;3120.25;3083.77;3099.52;52640508265
IMOEX;D;230811;000000;3122.06;3148.86;3115.85;3148.86;76102625157
IMOEX;D;230812;000000;3158.59;3163.47;3138.04;3155.51;58801620624
IMOEX;D;230815;000000;3186.47;3225.78;3117.31;3131;143756965640
IMOEX;D;230816;000000;3083.32;3163.74;3068.66;3115.25;101169255425
IMOEX;D;230817;000000;3109.46;3122.34;3015.57;3049.46;101922738707
IMOEX;D;230818;000000;3069.81;3076.31;3031.73;3059.02;58011690736
IMOEX;D;230819;000000;3077.78;3111.22;3058.01;3111.22;52519793191
IMOEX;D;230822;000000;3139.29;3150.61;3122.37;3139.93;67654848151
IMOEX;D;230823;000000;3146.42;3172.22;3124.19;3164.25;82928197094
IMOEX;D;230824;000000;3180.39;3184.17;3113.24;3146.2;77479462508
IMOEX;D;230825;000000;3117.02;3137.37;3108.17;3137.37;40185059413
IMOEX;D;230826;000000;3150.03;3158.61;3132.07;3157.33;39474596738
IMOEX;D;230829;000000;3161.36;3202.24;3161.36;3198.72;63368701488
IMOEX;D;230830;000000;3205.06;3218.4;3191.31;3211.36;83824471651
